YearOfObservation,Insured_Period,Residential,BPainted=N,BPainted=V,BFenced=N,BFenced=V,Garden=O,Garden=V,Settlement=R,Settlement=U,Building Dimension,Fire_resistive,Non_combustible,Ordinary,Wood_framed,NumberOfWindows,Claim
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25459776019726704,0.0,0.0,0.0,1.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12308640706873523,0.0,0.0,0.0,1.0,0,oui
2016.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5494708722901469,0.0,0.0,1.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1395253262098017,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1241138395150519,0.0,1.0,0.0,0.0,0,non
2016.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.051166135826569405,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11281208260556869,1.0,0.0,0.0,0.0,0,non
2015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.114866947498202,0.0,0.0,1.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,1.0,0.0,0.0,0.0,0,non
2012.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1847323538477345,0.0,1.0,0.0,0.0,0,non
2012.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5546080345217302,0.0,0.0,1.0,0.0,0,oui
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5443337100585637,0.0,1.0,0.0,0.0,0,non
2013.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2463783006267338,0.0,1.0,0.0,0.0,0,oui
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3269290044179595,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06144046028973595,0.0,1.0,0.0,0.0,0,non
2013.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,non
2012.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35117641015103257,0.0,0.0,0.0,1.0,0,oui
2015.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09431829857186891,0.0,0.0,0.0,1.0,0,non
2015.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1641837049214014,0.0,0.0,0.0,1.0,0,oui
2012.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07787937943080243,0.0,1.0,0.0,0.0,0,non
2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08198910921606904,0.0,1.0,0.0,0.0,0,non
